,foodkey,business_id,category,description,name,photo_num,photo_url,prices,restaurant,review_num,review_url,src
224,3031,A46G2OAvLxFswiONB50Rrg,Pizza,classic cheese or create your own pizza,Cheese Pizza,1,/menu/koronet-pizza-new-york/item/cheese-pizza,"[Small: 15.00, Large: 15.00, Jumbo: 15.00]",Koronet Pizza,15,/menu/koronet-pizza-new-york/item/cheese-pizza#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/V-LUrJJRE4I6Ah6lxcLVFA/180s.jpg
225,3032,A46G2OAvLxFswiONB50Rrg,Pizza,pick up only. this item is not available for delivery.,Cheese Slice,1,/menu/koronet-pizza-new-york/item/cheese-slice,"[Small: 2.75, Large: 2.75]",Koronet Pizza,11,/menu/koronet-pizza-new-york/item/cheese-slice#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/3J1mR5Iufi_MO9KCubIzFQ/180s.jpg
226,3058,ffp58kYSK7dJGs5ER-5txw,E Pizz,"tomato, mozzarella, basil",Margherita,2,/menu/sezz-medi-new-york/item/margherita,12.00,Sezz Medi,8,/menu/sezz-medi-new-york/item/margherita#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/pTcjOSWFbp-rJkAZ1DvZfQ/180s.jpg
228,3093,uCsyRxfIfiRqQQuK_JlfZA,Appetizers,"Crispy flour tortilla, chipotle pulled chicken, pepper jack cheese, sour cream, guacamole, salsa",Chicken Quesadilla,1,/menu/harlem-tavern-new-york-2/item/chicken-quesadilla,12.00,Harlem Tavern,4,/menu/harlem-tavern-new-york-2/item/chicken-quesadilla#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/--lGOrR5NHdJb4Lg3e8qJQ/180s.jpg
230,3100,uCsyRxfIfiRqQQuK_JlfZA,Tavern Style Mac & Cheese,,Turkey Bacon,1,/menu/harlem-tavern-new-york-2/item/turkey-bacon,3.00,Harlem Tavern,6,/menu/harlem-tavern-new-york-2/item/turkey-bacon#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/YHyysZm3wm5Mm6Tf2pFEvw/180s.jpg
231,3101,uCsyRxfIfiRqQQuK_JlfZA,Tavern Style Mac & Cheese,,Buffalo Chicken,1,/menu/harlem-tavern-new-york-2/item/buffalo-chicken,4.00,Harlem Tavern,1,/menu/harlem-tavern-new-york-2/item/buffalo-chicken#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/YQZLCRu5MgdruEcxotgO1w/180s.jpg
232,3102,uCsyRxfIfiRqQQuK_JlfZA,Tavern Style Mac & Cheese,,Grilled Chicken,1,/menu/harlem-tavern-new-york-2/item/grilled-chicken,4.00,Harlem Tavern,2,/menu/harlem-tavern-new-york-2/item/grilled-chicken#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/uRYI0twwEgGBAkOoU2QA5g/180s.jpg
233,3103,uCsyRxfIfiRqQQuK_JlfZA,Tavern Style Mac & Cheese,,Shrimp,3,/menu/harlem-tavern-new-york-2/item/shrimp,4.00,Harlem Tavern,16,/menu/harlem-tavern-new-york-2/item/shrimp#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/-P6UN9W1mXSWUCn42gE-xw/180s.jpg
234,3113,uCsyRxfIfiRqQQuK_JlfZA,Soups & Salads,"Baby greens, quinoa, basil, orange, avocado, cilantro, radish, jalapenos, lemon, olive oil",Spiced Mahi-Mahi Salad,3,/menu/harlem-tavern-new-york-2/item/spiced-mahi-mahi-salad,14.00,Harlem Tavern,2,/menu/harlem-tavern-new-york-2/item/spiced-mahi-mahi-salad#menu-reviews,http://s3-media4.fl.yelpassets.com/bphoto/hSEEEq9lmlHmzakm6PNZAg/180s.jpg
235,3121,uCsyRxfIfiRqQQuK_JlfZA,Burger & Sandwiches,"Char grilled 8 oz. black angus Toppings: NY state cheddar, swiss, danish bleu, american, mozzarella, goat cheese, caramelized onions, jalapenos, mushrooms",Ht Burger,3,/menu/harlem-tavern-new-york-2/item/ht-burger,12.00,Harlem Tavern,6,/menu/harlem-tavern-new-york-2/item/ht-burger#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/jJkROS0ZbUGrzH1_bN7xCQ/180s.jpg
